Country,Coffee type,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,Total_domestic_consumption
Angola,Robusta/Arabica,1200000,1800000,2100000,1200000,1500000,600000,1200000,2400000,1800000,1200000,1200000,1200000,1200000,900000,900000,900000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,46500000
Bolivia (Plurinational State of),Arabica,1500000,1620000,1650000,1710000,1770000,1830000,1890000,1950000,1980000,2040000,2100000,2190000,2250000,2310000,2700000,2460000,2520000,2610000,2700000,2760000,2850000,2940000,3030000,3120000,3210000,3300000,3420000,3510000,3600000,3660000,75180000
Brazil,Arabica/Robusta,492000000,510000000,534000000,546000000,558000000,606000000,660000000,690000000,732000000,762000000,792000000,815400000,825000000,852000000,896760000,932280000,979860000,1026600000,1059600000,1103400000,1147920000,1183200000,1219800000,1205100000,1219980000,1230480000,1273500000,1319820000,1332000000,1320000000,27824700000
Burundi,Arabica/Robusta,120000,96000,102000,114600,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,114360,93600,81420,86100,83940,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,3412020
Ecuador,Arabica/Robusta,21000000,21000000,21000000,21000000,21000000,21000000,18000000,18000000,18000000,13800000,12000000,12000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9300000,9300000,9300000,9300000,9300000,9300000,8940000,381540000
Indonesia,Robusta/Arabica,74520000,76800000,79140000,81540000,84000000,86580000,89160000,91920000,94680000,97560000,100560000,120000000,106740000,109980000,120000000,150000000,169980000,199980000,199980000,199980000,199980000,220020000,234000000,255000000,265020000,273000000,279000000,285000000,288000000,288360000,4920480000
Madagascar,Robusta,21000000,18000000,21000000,21600000,9999960,10020000,10020000,10020000,10020000,3360000,5346000,7680000,13020000,19980000,28020000,28020000,28020000,28020000,28020000,28020000,28020000,27000000,25800000,24600000,23400000,22200000,21600000,21900000,22500000,22500000,588705960
Malawi,Arabica,120000,120000,120000,120000,120000,120000,120000,120000,120000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,2340000
Papua New Guinea,Arabica/Robusta,180000,180000,180000,120000,120000,120000,120000,120000,60000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,85800,74160,102660,122340,115440,108000,120000,120000,120000,120000,3608400
Paraguay,Arabica,900000,900000,900000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,35100000
Peru,Arabica,11400000,11400000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,13200000,13200000,13200000,13200000,13200000,13200000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,402000000
Rwanda,Arabica,60000,60000,60000,60000,60000,60000,60000,180000,180000,120000,120000,120000,19980,19980,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,2139960
Timor-Leste,Arabica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,294000
Zimbabwe,Arabica,480000,480000,480000,499980,499980,396000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,8595960
Congo,Robusta,180000,160020,160020,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,5360040
Cuba,Arabica,12780000,12780000,11700000,11646000,11640000,11640000,11340000,11700000,12000000,12000000,12780000,13200000,13440000,13440000,13440000,13440000,13440000,13440000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,12960000,384006000
Dominican Republic,Arabica/Robusta,19200000,19200000,19200000,19200000,19800000,21000000,19500000,19500000,19500000,19500000,19500000,20411880,20411880,20400000,22679880,22679880,22679880,22680000,22680000,22680000,22680000,22680000,22680000,22999980,23280000,23280000,23400000,23400000,23400000,22620000,642823380
Haiti,Arabica,13200000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20700000,20700000,600600000
Philippines,Robusta/Arabica,43200000,45000000,45000000,46200000,47400000,48600000,49860000,51180000,48600000,51720000,49200000,49260000,49740000,55020000,61200000,62400000,63600000,63600000,103200000,109200000,127500000,130500000,139500000,153000000,168000000,180000000,181800000,190800000,198000000,195000000,2807280000
Tanzania,Arabica/Robusta,240000,210000,1152000,1050000,1050000,816000,996000,1020000,1020000,840000,900000,900000,900000,1620000,2220000,2820000,2820000,2820000,2820000,2820000,2820000,3537000,4302000,4408020,4603020,5523000,5478000,5500020,5520000,5700000,76425060
Zambia,Arabica,90000,90000,85920,60000,90000,36000,60000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,60000,60000,0,0,0,0,0,0,0,0,0,0,0,991920
Cameroon,Robusta/Arabica,4998000,4999980,4999980,6000000,6000000,6000000,6000000,6000000,6000000,6000000,4500000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4099980,4201020,4303980,4408980,4519020,4560000,4620000,4680000,4680000,4620000,143450940
Central African Republic,Robusta,1680000,1680000,1680000,1500000,900000,600000,600000,600000,1140000,1260000,180000,180000,227220,227220,180000,180000,180000,199980,300000,499980,600000,799980,1000020,1200000,1200000,1200000,1200000,1200000,1200000,1200000,24794400
Colombia,Arabica,74100000,76140000,78180000,80340000,82500000,81540000,80580000,79680000,78720000,77820000,76920000,76020000,75120000,74220000,73380000,72540000,71677980,76855380,77430000,76468740,78661440,86103900,90854520,97021200,99927060,103222380,104186484,107596260,107484600,121486440,2536776384
Costa Rica,Arabica,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,16071540,17726460,24433260,22853280,25385820,20103600,22844520,26929260,19767420,21200040,21900000,21120000,665335200
C̫te d'Ivoire,Robusta,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,19000020,19000020,19000020,19000020,19000020,19000020,19000020,19020000,19020000,19020000,19020000,19020000,19020000,19020000,19020000,19020000,19020000,19020000,19020000,19020000,410260140
Democratic Republic of Congo,Robusta/Arabica,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,11880000,359880000
El Salvador,Arabica,10800000,10800000,13800000,13800000,13800000,16200000,13800000,11500020,11500020,9198000,8640000,9198000,9198000,9198000,10350000,13446000,15228000,15030000,14658000,16098000,16560000,16404000,16596000,16500000,16800000,17100000,17520000,18000000,18000000,17520000,417242040
Equatorial Guinea,Robusta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,Arabica,72000000,75840000,79860000,84120000,88560000,93300000,98220000,103440000,108960000,114720000,120840000,127260000,134040000,141180000,148680000,156540000,164880000,173640000,182880000,186540000,190260000,194100000,197940000,201900000,205980000,210060000,214260000,218580000,221100000,226860000,4536540000
Gabon,Robusta,102000,60000,48000,48000,60000,48000,49980,48000,48000,42900,18000,18000,18000,18000,18000,18000,18000,18000,16500,15000,56820,61920,58020,34980,31020,30000,30000,30000,30000,30000,1123140
Ghana,Robusta,1020000,1020000,1020000,1020000,1680000,1680000,180000,180000,60000,60000,60000,60000,60000,60000,95400,95400,60000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,9970800
Guatemala,Arabica/Robusta,18000000,18000000,18000000,18600000,18600000,18600000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,20100000,19200000,20400000,21000000,21600000,22200000,22800000,23400000,23400000,23700000,23700000,23580000,590880000
Guinea,Robusta,1500000,1500000,3750000,1980000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,86730000
Guyana,Robusta,0,0,0,0,0,0,0,0,292020,261000,112980,250020,261000,285000,330000,336000,343020,420000,508020,493980,510000,516000,522000,528000,534000,540000,540000,540000,540000,540000,9203040
Honduras,Arabica,11289240,15426000,14400000,13800000,15180000,9660000,10075440,9660000,8280000,10080000,13800000,12000000,12000000,12000000,13800000,13800000,13800000,14700000,16099980,18400020,20100000,20400000,20700000,21000000,21300000,21900000,22200000,22500000,22500000,21000000,471850680
India,Robusta/Arabica,54180000,55000020,55020000,49999980,50100000,50220000,50280000,50340000,54000000,55500000,58500000,64020000,67980000,70020000,72120000,74280000,76500000,81000000,76500000,79500000,79500000,79500000,82500000,84000000,85800000,87000000,86400000,88200000,88500000,87000000,2093460000
Jamaica,Arabica,420000,660000,360000,576000,900000,900000,1080000,1200000,888000,660000,724020,600000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,18688020
Kenya,Arabica,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3300000,3300000,3600000,3600000,3900000,4200000,4290000,95190000
Lao People's Democratic Republic,Robusta,0,0,0,0,0,0,0,0,0,0,0,0,9480000,6180000,8100000,8400000,8400000,8400000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9300000,9300000,9420000,157980000
Liberia,Robusta,180000,180000,180000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,8640000
Mexico,Arabica/Robusta,82440000,72000000,78000000,64200000,61200000,70740000,74100000,72060000,66480000,69000000,78300000,90000000,90000000,90000000,90000000,103500000,120000000,132000000,132000000,132000000,141240000,141240000,141240000,139260000,140820000,139740000,141600000,144000000,147000000,145500000,3189660000
Nepal,Arabica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,Arabica,2040000,8280000,3936000,6534000,5376000,6690000,5722200,7380000,7590000,7818000,10495800,10639380,10777440,10914900,11056680,11203140,11351100,11498700,11648820,11797320,12164700,12315660,12471840,12573660,12704520,12836760,13003680,13080000,13200000,12600000,299700300
Nigeria,Robusta,1650000,2145000,2145000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,70740000
Panama,Arabica,3780000,4020000,4020000,4020000,4600020,4600020,4600020,4836900,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,122916960
Sierra Leone,Robusta,540000,540000,540000,300000,300000,480000,480000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,10080000
Sri Lanka,Robusta/Arabica,4000020,4020000,1680000,1200000,1200000,1200000,1200000,1200000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,58300020
Thailand,Robusta/Arabica,11280000,13200000,13980000,15000000,16980000,25020000,19980000,23400000,25980000,25980000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,33000000,36000000,42000000,46500000,66000000,67800000,72000000,75000000,78000000,81000000,82500000,84000000,84000000,1248600000
Togo,Robusta,60000,60000,60000,60000,60000,60000,60000,60000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,12600,14520,14280,11700,13200,15240,15240,15240,15600,2167620
Trinidad & Tobago,Robusta,480000,690000,600000,600000,840000,840000,840000,840000,840000,840000,840000,840000,840000,840000,840000,840000,660000,660000,660000,660000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,21090000
Uganda,Robusta/Arabica,4200000,4500000,4500000,4500000,4800000,4800000,4800000,6071400,6960000,7140000,8520000,8460000,8400000,7860000,8400000,9000000,10500000,10815000,11100000,11322000,12240000,12600000,12960000,13248000,13752000,14040000,14400000,14688000,15000000,15240000,284816400
Venezuela,Arabica,46943400,48928800,50998200,53155800,55404000,57747600,60190800,62736599,65390400,68156400,71039400,74044200,77176200,80440800,83843400,87390000,91086600,94939800,98955600,99000000,99000000,99000000,99000000,99000000,99000000,99000000,99000000,96000000,93000000,76500000,2386067999
Viet Nam,Robusta/Arabica,9000000,13800000,15000000,16020000,16020000,16910700,17850960,18843480,19891140,21000000,24097500,27651900,31130520,36410760,41781360,48000000,55020000,56280000,61260000,72480000,94980000,99000000,109500000,120000000,132000000,138000000,144000000,150000000,156000000,159000000,1920928320
Yemen,Arabica,0,0,0,0,0,0,0,0,0,0,0,0,0,8760000,8160000,8280000,8280000,7800000,7800000,7800000,7800000,7800000,7800000,7800000,7500000,6900000,6000000,5400000,3900000,3840000,121620000
