Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_import
   Austria,112800000,123480000,132360000,110160000,85020000,73860000,72600000,77640000,77580000,90000000,75420000,85920000,86820000,80160000,92280000,94620000,96060000,118080000,114060000,78540000,82140000,87120000,93540000,93300000,91500000,90780000,89700000,87600000,85740000,86880000,2765760000
   Belgium,0,0,0,0,0,0,0,0,0,180180000,209460000,192540000,227520000,229080000,238080000,243780000,276300000,240840000,407520000,354960000,355440000,349680000,340080000,330120000,312720000,332040000,363120000,340620000,344520000,371940000,6240540000
   Belgium/Luxembourg,120900000,104760000,109680000,123780000,135720000,144060000,151560000,152640000,214800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257900000
   Bulgaria,16080000,12000000,10920000,23820000,27780000,30900000,16320000,17640000,20520000,22020000,16860000,21300000,20580000,24000000,22020000,26460000,26100000,23580000,31020000,31380000,31680000,28920000,33600000,36540000,37260000,40920000,46740000,42420000,44220000,47100000,830700000
   Croatia,0,0,10080000,9780000,11580000,19200000,19320000,23100000,20340000,21120000,20640000,21120000,22260000,23580000,23280000,23520000,24240000,24840000,24300000,23640000,23640000,23460000,23040000,24780000,25200000,26220000,28740000,26340000,26760000,27960000,622080000
   Cyprus,3000000,3240000,2460000,4620000,3120000,2640000,3120000,2460000,3000000,3300000,4140000,3540000,3420000,3540000,3540000,4800000,4440000,4260000,4680000,4320000,4620000,4920000,5040000,5640000,5640000,5340000,5580000,6000000,7980000,7980000,130380000
   Czechia,39540000,31500000,28500000,30840000,33240000,33180000,31500000,33600000,45900000,43680000,48540000,53940000,53280000,58440000,55740000,63780000,56400000,62220000,62220000,55800000,57060000,57120000,67620000,71040000,109380000,124080000,106740000,90420000,114180000,96540000,1816020000
   Denmark,57540000,58980000,63720000,59640000,61980000,52620000,60360000,56940000,60840000,65640000,61320000,66180000,64560000,60120000,67140000,59580000,60240000,59700000,54000000,51600000,60900000,54540000,54780000,55260000,51180000,50460000,54360000,51120000,52080000,54480000,1741860000
   Estonia,0,0,960000,3060000,4980000,6420000,7020000,8460000,8100000,7860000,6300000,9660000,7200000,8040000,10560000,13260000,15240000,16620000,20040000,21420000,15780000,10020000,9420000,9360000,7860000,7560000,8100000,7980000,8820000,8880000,268980000
   Finland,65700000,61980000,63300000,78060000,81660000,46140000,59520000,71160000,70080000,72540000,63780000,65040000,64500000,66300000,69120000,69360000,70080000,72420000,77100000,74580000,76440000,77220000,74280000,76500000,72780000,79260000,83340000,81600000,77100000,90900000,2151840000
   France,378060000,393180000,396720000,380040000,382140000,372840000,399600000,402240000,394560000,400560000,391200000,405180000,415500000,399120000,356400000,342840000,371460000,385200000,375120000,400200000,403020000,419520000,410460000,402780000,426720000,408540000,404280000,418020000,457440000,479580000,11972520000
   Germany,820260000,793740000,827340000,846420000,814980000,771120000,810420000,834300000,824400000,859200000,833700000,885180000,930960000,943620000,1041360000,1002960000,1112580000,1173840000,1192560000,1164960000,1236180000,1255560000,1308960000,1270440000,1324680000,1278960000,1342080000,1305900000,1328820000,1345920000,31481400000
   Greece,38520000,24420000,20940000,22500000,30120000,31380000,45960000,47340000,42240000,43980000,47880000,52080000,53820000,59880000,56520000,55860000,53820000,64860000,63360000,62760000,63660000,69300000,74640000,76140000,74040000,72600000,95040000,52020000,69600000,74760000,1640040000
   Hungary,34440000,38460000,31320000,40080000,46260000,31200000,36180000,40500000,42960000,45720000,47400000,49980000,49680000,51840000,58620000,51120000,54060000,53640000,48660000,42240000,43620000,38400000,44880000,33420000,49980000,42840000,43500000,43320000,46740000,46380000,1327440000
   Ireland,7740000,7080000,5700000,6660000,7860000,6900000,5880000,6360000,6120000,8520000,9300000,10800000,10620000,13620000,15840000,15060000,15120000,15960000,7620000,8520000,9900000,12600000,15120000,13980000,17520000,21420000,24180000,25620000,26400000,26280000,384300000
   Italy,314520000,277800000,275700000,335640000,333240000,323280000,336480000,344580000,353340000,356580000,378900000,392520000,391380000,415740000,421920000,436140000,452880000,481680000,490320000,484680000,494160000,501300000,521460000,529380000,561000000,559680000,613440000,601200000,638340000,654840000,13272120000
   Latvia,0,0,1200000,3600000,1380000,1800000,3960000,8640000,9540000,10980000,10860000,9360000,9840000,11160000,11280000,11460000,13260000,9060000,9240000,7920000,8280000,8460000,9420000,9660000,12780000,12120000,13860000,13740000,14580000,14100000,261540000
   Lithuania,0,0,120000,540000,2820000,6780000,9000000,11220000,11100000,12360000,12780000,16020000,15780000,13260000,15360000,17040000,19020000,20160000,23400000,24660000,22560000,17340000,20220000,21720000,23760000,25680000,29940000,25920000,26460000,28440000,473460000
   Luxembourg,0,0,0,0,0,0,0,0,0,8700000,13920000,12600000,15180000,17340000,18960000,19860000,20160000,21600000,21060000,19800000,20940000,19560000,19380000,22680000,24780000,22560000,23640000,22800000,25980000,24120000,415620000
   Malta,1260000,960000,1080000,1380000,780000,1380000,540000,540000,600000,540000,540000,540000,600000,660000,960000,960000,1740000,960000,1380000,840000,720000,1020000,1260000,1320000,1500000,960000,1140000,1020000,1140000,1380000,29700000
   Netherlands,187680000,187260000,192300000,168240000,168000000,174600000,185040000,175440000,171720000,153960000,177960000,167640000,165600000,190560000,189540000,179280000,197580000,211860000,138240000,150120000,154980000,160680000,163800000,204420000,240960000,250560000,286860000,304080000,331200000,321240000,5951400000
   Poland,26100000,15000000,107220000,100200000,110580000,106260000,115440000,135180000,137580000,144240000,154560000,163140000,158580000,159840000,161220000,167520000,159240000,135840000,147600000,189720000,196740000,204240000,212580000,197040000,193740000,219960000,229620000,239940000,259500000,267120000,4815540000
   Portugal,33120000,33420000,35460000,39960000,39840000,37980000,44580000,43620000,45720000,49020000,48660000,50580000,50280000,50040000,50280000,49860000,51720000,54660000,53100000,53220000,60600000,63480000,64560000,63780000,63600000,62640000,67680000,65640000,68400000,73200000,1568700000
   Romania,26520000,20100000,36180000,25500000,20820000,33060000,41820000,37860000,35700000,30660000,33120000,37980000,44280000,45300000,49680000,52440000,51240000,50400000,49560000,48660000,50340000,50640000,54180000,58260000,57480000,60720000,68040000,69300000,70440000,69900000,1380180000
   Slovakia,0,0,0,17280000,15420000,15000000,15660000,15180000,15540000,16140000,17160000,19020000,18000000,18180000,17880000,18480000,20820000,30480000,36660000,27480000,39300000,46620000,46320000,47880000,55140000,54600000,54360000,43380000,53400000,46380000,821760000
   Slovenia,0,0,7380000,9120000,9540000,8880000,10500000,10260000,10440000,10920000,11220000,11640000,12060000,10620000,11760000,11460000,11220000,12300000,12300000,12600000,13080000,13380000,13260000,15480000,16140000,16320000,19380000,24060000,33000000,37200000,395520000
   Spain,183180000,178200000,204840000,168780000,181680000,188760000,210900000,226620000,223080000,239160000,226080000,243480000,241560000,248160000,250380000,261360000,272280000,292500000,291840000,288660000,302040000,289260000,305640000,308220000,324360000,325740000,339600000,324840000,340380000,359040000,7840620000
   Sweden,106020000,103020000,106320000,105420000,113580000,85200000,91320000,88380000,86400000,87360000,80640000,85920000,87780000,86100000,89700000,101580000,109200000,106200000,108240000,99540000,103620000,98820000,100800000,102540000,131880000,127260000,141000000,138360000,135720000,140880000,3148800000
Japan,319800000,330600000,319560000,341460000,373020000,329340000,359640000,355260000,361620000,392820000,414480000,419760000,438420000,415380000,435240000,444480000,457920000,425160000,423600000,425400000,444420000,452640000,421500000,502860000,459420000,483780000,481560000,458820000,452400000,482400000,12422760000
Norway,44520000,45660000,44340000,41580000,48360000,39720000,43200000,41040000,42420000,47400000,39720000,42960000,41880000,41460000,42960000,45180000,43860000,46800000,43320000,43440000,45540000,47700000,44100000,46860000,44580000,48000000,47940000,48060000,44580000,47160000,1334340000
Russian Federation,0,0,82920000,107700000,103560000,103680000,67680000,131100000,103920000,82080000,113400000,183420000,210240000,226320000,192300000,200160000,207900000,259080000,243180000,213180000,249300000,253080000,250500000,264600000,284820000,282600000,313980000,328080000,317280000,355020000,5731080000
Switzerland,70260000,67800000,66060000,63600000,65940000,61020000,66720000,58260000,66720000,68340000,70260000,75300000,73020000,79320000,74160000,98460000,90180000,109380000,118680000,126060000,139080000,149880000,148680000,160020000,158580000,164880000,168960000,174240000,185160000,193680000,3212700000
Tunisia,6060000,5400000,6660000,6060000,8220000,8220000,8640000,9900000,8820000,11160000,11520000,13980000,14160000,7380000,15840000,11400000,12540000,15180000,19080000,17340000,18240000,25740000,26340000,26340000,27600000,27540000,27960000,32760000,31980000,30480000,492540000
United Kingdom,173880000,168360000,185280000,191820000,207960000,168420000,174180000,175740000,188520000,174420000,180720000,183720000,178260000,180120000,199740000,205980000,242760000,226860000,238020000,247860000,258120000,250980000,247560000,252360000,259140000,293700000,303120000,299340000,341280000,333240000,6731460000
United States of America,1260420000,1190400000,1376340000,1159740000,970260000,1026420000,1166700000,1220580000,1261800000,1364760000,1426020000,1284900000,1298340000,1365600000,1391040000,1382520000,1422540000,1453140000,1456620000,1414680000,1462680000,1565580000,1563360000,1620960000,1653900000,1662480000,1730280000,1769280000,1735080000,1851240000,42507660000
